epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13155.8,0.77396,0.82677,1.14248,0.60202,0.47745,0.51095,0.36418,1.349,1.80989,1.7102,0.000660045,0.000660045,0.000660045
43,13495.3,0.795,0.83471,1.16893,0.53418,0.47706,0.51606,0.38505,1.25299,1.73643,1.63213,0.000649046,0.000649046,0.000649046
44,13812.3,0.75028,0.77955,1.1445,0.53272,0.52383,0.4975,0.36443,1.21313,1.68241,1.58812,0.000638047,0.000638047,0.000638047
45,14103.3,0.75173,0.80082,1.1326,0.51671,0.53204,0.49964,0.35601,1.27127,1.97039,1.65214,0.000627048,0.000627048,0.000627048
46,14393.2,0.74746,0.79095,1.13191,0.61718,0.48373,0.53419,0.37923,1.27156,1.78602,1.65055,0.000616049,0.000616049,0.000616049
47,14682.7,0.73219,0.74313,1.11566,0.57171,0.47643,0.52482,0.36032,1.32307,1.85928,1.73156,0.000605051,0.000605051,0.000605051
48,14976.4,0.72508,0.73573,1.12193,0.53464,0.53141,0.53867,0.39323,1.23188,1.78331,1.58716,0.000594052,0.000594052,0.000594052
49,15273,0.72254,0.72109,1.11743,0.61109,0.4922,0.52845,0.38352,1.26128,1.77093,1.67442,0.000583053,0.000583053,0.000583053
50,15563.7,0.74177,0.74015,1.12137,0.57406,0.48592,0.52421,0.37868,1.23356,1.74234,1.59248,0.000572054,0.000572054,0.000572054
51,15852.3,0.7344,0.71043,1.12763,0.67219,0.47353,0.53379,0.37748,1.27721,1.67616,1.67832,0.000561055,0.000561055,0.000561055
52,16140.9,0.71407,0.70525,1.10002,0.56346,0.54241,0.53706,0.38504,1.21282,1.79918,1.57653,0.000550056,0.000550056,0.000550056
53,16461.9,0.68822,0.68195,1.09707,0.60046,0.56048,0.55605,0.4095,1.23245,1.77369,1.62271,0.000539057,0.000539057,0.000539057
54,16785.8,0.68877,0.69166,1.08705,0.58984,0.52944,0.56851,0.42555,1.2242,1.63459,1.62293,0.000528058,0.000528058,0.000528058
55,17081.3,0.6819,0.67232,1.09429,0.66912,0.5162,0.58519,0.42389,1.22185,1.68453,1.62327,0.000517059,0.000517059,0.000517059
56,17376.3,0.69571,0.69908,1.1014,0.55202,0.57561,0.58029,0.41749,1.25236,1.73056,1.6428,0.00050606,0.00050606,0.00050606
57,17667.8,0.69609,0.6811,1.09376,0.56369,0.49087,0.53716,0.37551,1.2324,1.82628,1.62512,0.000495062,0.000495062,0.000495062
58,17965.4,0.69198,0.66264,1.10359,0.61412,0.55436,0.55628,0.40974,1.17717,1.72181,1.53557,0.000484063,0.000484063,0.000484063
59,18283.7,0.68445,0.6468,1.08848,0.64939,0.48134,0.53736,0.40283,1.23351,1.74445,1.61887,0.000473064,0.000473064,0.000473064
60,18599.9,0.67121,0.6516,1.08657,0.60873,0.49213,0.53688,0.39621,1.17414,1.70296,1.55721,0.000462065,0.000462065,0.000462065
61,18917.4,0.65622,0.62797,1.07561,0.60988,0.49485,0.51663,0.37711,1.22462,1.72656,1.63024,0.000451066,0.000451066,0.000451066
62,19218.3,0.66919,0.64054,1.07695,0.62378,0.56111,0.55504,0.41265,1.2072,1.64981,1.62248,0.000440067,0.000440067,0.000440067
63,19506.1,0.6506,0.63081,1.06975,0.5446,0.57837,0.55867,0.41682,1.21635,1.73028,1.60686,0.000429068,0.000429068,0.000429068
64,19793.8,0.64743,0.6163,1.07005,0.64036,0.53041,0.55059,0.40636,1.2857,1.69679,1.66011,0.000418069,0.000418069,0.000418069
65,20082.3,0.63133,0.60971,1.06054,0.63012,0.5455,0.56601,0.41511,1.212,1.77759,1.6013,0.00040707,0.00040707,0.00040707
66,20371.1,0.62069,0.61243,1.05868,0.58013,0.53035,0.55235,0.39748,1.22076,1.81127,1.63562,0.000396071,0.000396071,0.000396071
67,20661.8,0.62854,0.60097,1.05488,0.52614,0.52397,0.53261,0.39961,1.18591,1.73814,1.59891,0.000385073,0.000385073,0.000385073
68,20952.8,0.62005,0.58061,1.04698,0.55742,0.55193,0.55131,0.40109,1.24874,1.80562,1.62905,0.000374074,0.000374074,0.000374074
